# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Total Frames per SNR: 1000000
# Generated: 2026-01-10 13:16:13
#
SNR_dB,Bit_Errors,Total_Bits,BER
4.5,101,628647936,1.606623e-07
5.0,68,1024000000,6.640625e-08
5.5,8,1024000000,7.812500e-09
6.0,0,1024000000,0.000000e+00
6.5,0,1024000000,0.000000e+00
7.0,0,1024000000,0.000000e+00
7.5,0,1024000000,0.000000e+00
8.0,0,1024000000,0.000000e+00
8.5,0,1024000000,0.000000e+00
9.0,0,1024000000,0.000000e+00
9.5,0,1024000000,0.000000e+00
10.0,0,1024000000,0.000000e+00
