# ============================================
# Turbo Code BER Simulation Results (Complete)
# ============================================
# Decoder: Turbo (PCCC R=1/3, Log-MAP, 8 iterations)
# Code Rate: 0.3333
# Block Size: 1024 bits
# SNR Range: -1.0 to 10.0 dB
# Generated: 2026-01-10
# ============================================
SNR_dB,Bit_Errors,Total_Bits,BER
-1.0,17802031,102400000,1.738480e-01
-0.8,15700994,102400000,1.533300e-01
-0.5,13154329,102400000,1.284602e-01
-0.2,9933989,102400000,9.701161e-02
0.0,6143730,102400000,5.999736e-02
0.2,2747424,102400000,2.683031e-02
0.5,807644,102400000,7.887148e-03
0.8,170221,102400000,1.662314e-03
1.0,33266,102400000,3.248633e-04
1.2,10017,102400000,9.782227e-05
1.5,3656,102400000,3.570313e-05
1.8,1870,102400000,1.826172e-05
2.0,882,102400000,8.613281e-06
2.2,561,102400000,5.478516e-06
2.5,303,102400000,2.958984e-06
2.8,136,102400000,1.328125e-06
3.0,88,102400000,8.593750e-07
3.2,52,102400000,5.078125e-07
3.5,24,102400000,2.343750e-07
3.8,13,102400000,1.269531e-07
4.0,11,102400000,1.074219e-07
4.5,101,628647936,1.606623e-07
5.0,68,1024000000,6.640625e-08
5.5,8,1024000000,7.812500e-09
