# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Total Frames per SNR: 20000
# Generated: 2026-01-10 16:02:38
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
-0.4,285876,1784000,1.602444e-01,996,1000,9.960000e-01
-0.3,259419,1784000,1.454142e-01,985,1000,9.850000e-01
-0.2,222682,1784000,1.248217e-01,949,1000,9.490000e-01
-0.1,182202,1784000,1.021312e-01,841,1000,8.410000e-01
0.0,129909,1784000,7.281895e-02,670,1000,6.700000e-01
0.1,79599,1784000,4.461827e-02,473,1000,4.730000e-01
0.2,39853,1784000,2.233913e-02,246,1000,2.460000e-01
0.3,15239,1784000,8.542040e-03,110,1000,1.100000e-01
0.4,13707,3862360,3.548866e-03,100,2165,4.618938e-02
0.5,12028,11490744,1.046756e-03,100,6441,1.552554e-02
0.6,6196,35680000,1.736547e-04,56,20000,2.800000e-03
0.7,1344,35680000,3.766816e-05,14,20000,7.000000e-04
0.8,322,35680000,9.024664e-06,4,20000,2.000000e-04
0.9,4,35680000,1.121076e-07,1,20000,5.000000e-05
1.0,3,35680000,8.408072e-08,1,20000,5.000000e-05
