# Fused Result for ber_BCJR_MAP
# Source Files: 229
# Max Total Bits: 468992000.0
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,41286352,468992000,0.0880321028930131,458000,458000,1.0
0.5,28922215,468992000,0.061668887742221616,458000,458000,1.0
1.0,18948859,468992000,0.04040337361831332,458000,458000,1.0
1.5,11575447,468992000,0.024681544674536027,457962,458000,0.9999170305676855
2.0,6533970,468992000,0.01393194340201965,456285,458000,0.9962554585152839
2.5,3429964,468992000,0.007313480826965066,438673,458000,0.9578013100436681
3.0,1652257,468992000,0.0035229961278657206,370159,458000,0.808207423580786
3.5,734807,468992000,0.0015667793906932314,253124,458000,0.5526724890829694
4.0,301019,468992000,0.0006418425047762009,138497,458000,0.3023951965065502
4.5,113557,468992000,0.00024212992972161572,63218,458000,0.13803056768558952
5.0,39010,468992000,8.317839110262009e-05,24802,458000,0.054152838427947596
5.5,12208,468992000,2.603029475982533e-05,8498,458000,0.018554585152838428
6.0,3570,468992000,7.612070141921398e-06,2696,458000,0.00588646288209607
