# Fused Result for ber_Hard_Viterbi
# Source Files: 230
# Max Total Bits: 471040000.0
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,92662585,468992000,0.1975781783058133,458000,458000,1.0
0.5,76685582,468992000,0.16351149273335153,458000,458000,1.0
1.0,61091234,468992000,0.13026071660070962,458000,458000,1.0
1.5,46641704,468992000,0.09945095865174672,458000,458000,1.0
2.0,33893376,468992000,0.07226855895196506,458000,458000,1.0
2.5,23388476,468992000,0.04986966941866812,458000,458000,1.0
3.0,15257009,468992000,0.0325314909422762,457986,458000,0.9999694323144105
3.5,9383042,468992000,0.02000682740856987,457645,458000,0.9992248908296943
4.0,5415075,468992000,0.011546199082287118,452347,458000,0.9876572052401746
4.5,2936271,468992000,0.006260812551173581,422679,458000,0.9228799126637555
5.0,1492052,468992000,0.003181401814956332,345110,458000,0.7535152838427948
5.5,703888,468992000,0.0015008528930131005,231506,458000,0.505471615720524
6.0,310980,468992000,0.0006630816730349345,129235,458000,0.28217248908296944
6.5,126449,468992000,0.0002696186715338428,60684,458000,0.13249781659388646
7.0,47203,471040000,0.00010021017323369565,24852,460000,0.05402608695652174
7.5,15778,471040000,3.349609375e-05,8769,460000,0.01906304347826087
8.0,4799,471040000,1.0188094429347826e-05,2746,460000,0.005969565217391304
