# Fused Result for ber_Soft_Viterbi
# Source Files: 228
# Max Total Bits: 464896000.0
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,43000700,464896000,0.09249531077918502,454000,454000,1.0
0.5,29975729,464896000,0.06447835429859582,454000,454000,1.0
1.0,19549609,464896000,0.04205157497590859,453999,454000,0.9999977973568281
1.5,11860998,464896000,0.025513228765143173,453903,454000,0.9997863436123348
2.0,6654614,464896000,0.01431419930479075,451636,454000,0.9947929515418502
2.5,3465538,464896000,0.007454437121420705,431243,454000,0.9498744493392071
3.0,1666639,464896000,0.0035849716925936124,361698,454000,0.7966916299559471
3.5,739135,464896000,0.0015898932234306167,246683,454000,0.5433546255506608
4.0,300009,464896000,0.0006453249759085903,134877,454000,0.2970859030837004
4.5,112364,464896000,0.00024169706773127754,61733,454000,0.13597577092511012
5.0,39671,464896000,8.533306373898679e-05,24753,454000,0.05452202643171806
5.5,12281,464896000,2.641666093061674e-05,8477,454000,0.01867180616740088
6.0,3555,464896000,7.646871558370043e-06,2666,454000,0.005872246696035243
