# Fused Result for ber_Turbo_LogMAP_K8920_R1-3
# Source Files: 223
# Max Total Bits: 3960480000.0
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,122291905,1980240000,0.061756102795620736,187547,222000,0.8448063063063063
0.1,36829307,1980240000,0.018598405748798126,93411,222000,0.42077027027027025
0.2,5259774,2495102400,0.0021080393333756564,22209,279720,0.0793972543972544
0.3,298932,3960480000,7.547872985092716e-05,2133,444000,0.004804054054054054
0.4,8308,3960480000,2.097725528218802e-06,107,444000,0.000240990990990991
0.5,4132,3960480000,1.0433078818729042e-06,45,444000,0.00010135135135135135
0.6,1184,3960480000,2.9895366218236176e-07,28,444000,6.306306306306306e-05
0.7,873,3960480000,2.204278269300691e-07,16,444000,3.603603603603604e-05
0.8,2195,3960480000,5.542257504140913e-07,14,444000,3.153153153153153e-05
0.9,933,3960480000,2.3557750575687796e-07,7,444000,1.5765765765765765e-05
1.0,58,3960480000,1.464468953258191e-08,5,444000,1.1261261261261261e-05
