# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Total Frames per SNR: 100
# Generated: 2026-01-10 18:05:28
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,52498,892000,5.885426e-02,82,100,8.200000e-01
0.1,14732,892000,1.651570e-02,39,100,3.900000e-01
0.2,1942,892000,2.177130e-03,9,100,9.000000e-02
0.3,225,892000,2.522422e-04,1,100,1.000000e-02
0.4,0,892000,0.000000e+00,0,100,0.000000e+00
0.5,0,892000,0.000000e+00,0,100,0.000000e+00
0.6,0,892000,0.000000e+00,0,100,0.000000e+00
0.7,0,892000,0.000000e+00,0,100,0.000000e+00
0.8,0,892000,0.000000e+00,0,100,0.000000e+00
0.9,0,892000,0.000000e+00,0,100,0.000000e+00
1.0,0,892000,0.000000e+00,0,100,0.000000e+00
