# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 50000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 50000
# Generated: 2026-01-11 23:12:08
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,516722,8920000,5.792848e-02,845,1000,8.450000e-01
0.1,149978,8920000,1.681368e-02,386,1000,3.860000e-01
0.2,29015,14289840,2.030464e-03,100,1602,6.242197e-02
0.3,18908,206676400,9.148601e-05,100,23170,4.315926e-03
0.4,310,446000000,6.950673e-07,6,50000,1.200000e-04
0.5,13,446000000,2.914798e-08,5,50000,1.000000e-04
0.6,21,446000000,4.708520e-08,4,50000,8.000000e-05
0.7,12,446000000,2.690583e-08,2,50000,4.000000e-05
0.8,0,446000000,0.000000e+00,0,50000,0.000000e+00
0.9,44,446000000,9.865471e-08,1,50000,2.000000e-05
1.0,56,446000000,1.255605e-07,1,50000,2.000000e-05
