# Fused Result for ber_Turbo_LogMAP_K1784_R1-3
# Source Files: 228
# Max Total Bits: 813504000.0
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
-0.4,64546186,406752000,0.1586868312878609,227178,228000,0.9963947368421052
-0.3,58560077,404968000,0.14460420823373699,223093,227000,0.9827885462555066
-0.2,50888878,404968000,0.12566147942553485,213780,227000,0.941762114537445
-0.1,41194417,406752000,0.10127649526001102,192775,228000,0.8455043859649123
0.0,29440836,404968000,0.07269916635388475,154326,227000,0.6798502202643172
0.1,18199059,404968000,0.04493949892337172,106483,227000,0.46908810572687226
0.2,9323280,406752000,0.02292128864762804,60567,228000,0.26564473684210527
0.3,3951060,406823360,0.009711979174450552,28269,228040,0.12396509384318541
0.4,2627309,803160368,0.0032712134521059935,20413,450202,0.04534186876113389
0.5,708723,813504000,0.0008711979289591692,6031,456000,0.013225877192982457
0.6,152534,809936000,0.00018832846052033742,1373,454000,0.003024229074889868
0.7,26267,809936000,3.24309575077537e-05,259,454000,0.0005704845814977974
0.8,2589,813504000,3.1825289119660135e-06,42,456000,9.210526315789474e-05
0.9,581,809936000,7.173406293830624e-07,17,454000,3.7444933920704846e-05
1.0,38,809936000,4.6917287291835406e-08,6,454000,1.3215859030837005e-05
1.1,15,813504000,1.84387538352608e-08,3,456000,6.578947368421053e-06
1.2,17,809936000,2.0989312735821102e-08,2,454000,4.405286343612335e-06
