# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 2000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 2000
# Generated: 2026-01-12 07:32:09
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,538279,8920000,6.034518e-02,843,1000,8.430000e-01
0.1,164428,8920000,1.843363e-02,404,1000,4.040000e-01
0.2,24795,13237280,1.873119e-03,100,1484,6.738544e-02
0.3,968,17840000,5.426009e-05,6,2000,3.000000e-03
0.4,11,17840000,6.165919e-07,1,2000,5.000000e-04
0.5,6,17840000,3.363229e-07,1,2000,5.000000e-04
0.6,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.7,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.8,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.9,3,17840000,1.681614e-07,1,2000,5.000000e-04
1.0,0,17840000,0.000000e+00,0,2000,0.000000e+00
