# Fused Result for ber_Turbo_LogMAP_K8920_R1-3
# Source Files: 69
# SNR Points: 11
# SNR Range: [0.0, 1.0] dB
# Max Total Bits: 2212160000.0
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,37439382,615480000,0.0608295671670891,57859,69000,0.838536231884058
0.1,11004311,615480000,0.017879234093715474,27841,69000,0.4034927536231884
0.2,1644250,840469160,0.001956347809359239,6900,94223,0.07323052757819216
0.3,139706,2097761000,6.659767247079148e-05,955,235175,0.004060805782927607
0.4,3383,2212160000,1.5292745551858816e-06,47,248000,0.00018951612903225806
0.5,1230,2212160000,5.560176479097353e-07,24,248000,9.67741935483871e-05
0.6,2096,2212160000,9.474902357876465e-07,15,248000,6.0483870967741935e-05
0.7,1039,2212160000,4.6967669607984957e-07,11,248000,4.435483870967742e-05
0.8,27,2212160000,1.2205265441921018e-08,4,248000,1.6129032258064517e-05
0.9,12,2212160000,5.4245624186315634e-09,2,248000,8.064516129032258e-06
1.0,17,2212160000,7.684796759728049e-09,4,248000,1.6129032258064517e-05
