# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 5000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 5000
# Generated: 2026-01-12 03:58:05
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,540435,8920000,6.058688e-02,832,1000,8.320000e-01
0.1,172553,8920000,1.934451e-02,415,1000,4.150000e-01
0.2,23128,13710040,1.686939e-03,100,1537,6.506181e-02
0.3,1276,44600000,2.860987e-05,15,5000,3.000000e-03
0.4,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.5,3,44600000,6.726457e-08,1,5000,2.000000e-04
0.6,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.7,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.8,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.9,0,44600000,0.000000e+00,0,5000,0.000000e+00
1.0,0,44600000,0.000000e+00,0,5000,0.000000e+00
